指标,2018年,2017年,2016年,2015年,2014年
能源生产总量(万吨标准煤),377000.00,358500.00,346037.31,361476.00,361866.00
能源消费总量(万吨标准煤),464000.00,448529.14,435819.00,429905.00,425806.00
原煤生产总量(万吨标准煤),261261.00,249516.00,241534.04,260985.67,266333.38
煤炭消费总量(万吨标准煤),273760.00,270911.52,270207.78,273849.49,279328.74
原油生产总量(万吨标准煤),27144.00,27246.00,28375.06,30725.46,30396.74
石油消费总量(万吨标准煤),87696.00,84323.45,80626.52,78672.62,74090.24
天然气生产总量(万吨标准煤),20735.00,19359.00,17993.94,17350.85,17007.70
天然气消费总量(万吨标准煤),36192.00,31397.03,27020.78,25364.40,24270.94





