地区,2017年,2016年,2015年,2014年
北京,20085.4,33210.02,71171.67,78906.03
天津,55643.87,70614.09,185900.43,209200
河北,602365.82,789443.81,1108370.93,1189902.56
山西,573077.61,686444.28,1120643.18,1208225.28
内蒙古,546254.73,625742.23,1230945.68,1312436.37
辽宁,389709.74,507695.2,968766.93,994597.4
吉林,166108.72,188065.71,362928,372256
黑龙江,293659.33,338220.91,456331.21,472248.4
上海,18502.23,74245.77,170843.52,188149.16
江苏,410690.43,570115.7,835058.81,904740.62
浙江,190468.12,268384.63,537826.34,574012.17
安徽,235419.41,281566.51,480072.79,492965.67
福建,133890.72,189257.18,337881.74,355957.2
江西,215464.1,276888.22,528064.92,534414.92
山东,739121.42,1134524.43,1525670.1,1590236.96
河南,286316.67,413622.67,1144252.03,1198182.07
湖北,220059.71,285602.99,551358,583759.24
湖南,214584.89,346766.41,595473.42,623688.6
广东,276773.81,353692.57,678341.35,730146.58
广西,177318.18,201063.67,421198.7,466588.74
海南,14271.49,16957.63,32300.06,32563.91
重庆,253381.46,288337.75,495801.96,526944.28
四川,389142.9,488269.45,717584.45,796401.53
贵州,687465.46,647063.92,852964.5,925787.1
云南,384449.37,526208.98,583739.22,636683.23
西藏,3462.81,5411.41,5373.02,4249.87
陕西,279359.33,318012.39,735017.21,780954.38
甘肃,258811.14,271975.89,570621.39,575648.72
青海,92416.66,113692.7,150766,154276
宁夏,207520.16,236859.01,357596.19,377055.54
新疆,418180.06,480686.93,778330.32,852981.33

